Dato;Parameter;AverageValue;Layer
2011-07-19;Salinitet;25.855;Bottom
2011-07-19;Salinitet;24.09;Surface
2011-07-19;Temperatur;17.27375;Bottom
2011-07-19;Temperatur;17.22;Surface
2011-07-25;Oxygen indhold;3.2666666666666666;Bottom
2011-07-25;Oxygen indhold;9.5;Surface
2011-07-25;Oxygenmætning;39.888888888888886;Bottom
2011-07-25;Oxygenmætning;114.5;Surface
2011-07-25;Salinitet;25.42;Bottom
2011-07-25;Salinitet;22.822499999999998;Surface
2011-07-25;Temperatur;17.72888888888889;Bottom
2011-07-25;Temperatur;17.82;Surface
2011-08-01;Oxygen indhold;1.2428571428571427;Bottom
2011-08-01;Oxygen indhold;8.625;Surface
2011-08-01;Oxygenmætning;15.428571428571429;Bottom
2011-08-01;Oxygenmætning;111.0;Surface
2011-08-01;Salinitet;24.892857142857142;Bottom
2011-08-01;Salinitet;23.2325;Surface
2011-08-01;Temperatur;18.684285714285714;Bottom
2011-08-01;Temperatur;20.877499999999998;Surface
2011-08-03;Oxygen indhold;4.16;Bottom
2011-08-03;Oxygen indhold;9.2;Surface
2011-08-03;Oxygenmætning;53.6;Bottom
2011-08-03;Oxygenmætning;120.4;Surface
2011-08-03;Salinitet;23.686;Bottom
2011-08-03;Salinitet;21.868000000000002;Surface
2011-08-03;Temperatur;20.562;Bottom
2011-08-03;Temperatur;22.218;Surface
2011-08-08;Oxygen indhold;1.9100000000000001;Bottom
2011-08-08;Oxygen indhold;6.6;Surface
2011-08-08;Oxygenmætning;23.6;Bottom
2011-08-08;Oxygenmætning;82.0;Surface
2011-08-08;Salinitet;26.851999999999997;Bottom
2011-08-08;Salinitet;24.1675;Surface
2011-08-08;Temperatur;18.419;Bottom
2011-08-08;Temperatur;18.435;Surface
2011-08-15;Oxygen indhold;5.028571428571429;Bottom
2011-08-15;Oxygen indhold;10.4;Surface
2011-08-15;Oxygenmætning;61.142857142857146;Bottom
2011-08-15;Oxygenmætning;124.75;Surface
2011-08-15;Salinitet;24.857142857142858;Bottom
2011-08-15;Salinitet;22.735;Surface
2011-08-15;Temperatur;17.462857142857143;Bottom
2011-08-15;Temperatur;17.49;Surface
2011-08-22;Oxygen indhold;0.7571428571428571;Bottom
2011-08-22;Oxygen indhold;10.0;Surface
2011-08-22;Oxygenmætning;9.285714285714286;Bottom
2011-08-22;Oxygenmætning;122.0;Surface
2011-08-22;Salinitet;26.631428571428568;Bottom
2011-08-22;Salinitet;24.76;Surface
2011-08-22;Temperatur;17.65714285714286;Bottom
2011-08-22;Temperatur;17.6875;Surface
2011-08-30;Oxygen indhold;8.372727272727273;Bottom
2011-08-30;Oxygen indhold;8.6;Surface
2011-08-30;Oxygenmætning;100.54545454545455;Bottom
2011-08-30;Oxygenmætning;103.0;Surface
2011-08-30;Salinitet;25.916363636363634;Bottom
2011-08-30;Salinitet;25.83;Surface
2011-08-30;Temperatur;16.518181818181816;Bottom
2011-08-30;Temperatur;16.52;Surface
2011-09-05;Oxygen indhold;7.7749999999999995;Bottom
2011-09-05;Oxygen indhold;9.4;Surface
2011-09-05;Oxygenmætning;93.75;Bottom
2011-09-05;Oxygenmætning;114.0;Surface
2011-09-05;Salinitet;25.54875;Bottom
2011-09-05;Salinitet;25.264000000000003;Surface
2011-09-05;Temperatur;16.8275;Bottom
2011-09-05;Temperatur;17.212;Surface
2011-09-21;Oxygen indhold;6.8;Bottom
2011-09-21;Oxygen indhold;8.5;Surface
2011-09-21;Oxygenmætning;78.9;Bottom
2011-09-21;Oxygenmætning;96.25;Surface
2011-09-21;Salinitet;27.621;Bottom
2011-09-21;Salinitet;25.072499999999998;Surface
2011-09-21;Temperatur;14.351000000000003;Bottom
2011-09-21;Temperatur;14.022499999999999;Surface
2011-09-27;Oxygen indhold;3.757142857142857;Bottom
2011-09-27;Oxygen indhold;12.625;Surface
2011-09-27;Oxygenmætning;43.42857142857143;Bottom
2011-09-27;Oxygenmætning;144.75;Surface
2011-09-27;Salinitet;27.55857142857143;Bottom
2011-09-27;Salinitet;26.07;Surface
2011-09-27;Temperatur;14.321428571428571;Bottom
2011-09-27;Temperatur;14.105;Surface
2011-10-03;Oxygen indhold;0.4571428571428572;Bottom
2011-10-03;Oxygen indhold;9.5;Surface
2011-10-03;Oxygenmætning;5.285714285714286;Bottom
2011-10-03;Oxygenmætning;111.25;Surface
2011-10-03;Salinitet;28.101428571428574;Bottom
2011-10-03;Salinitet;26.627499999999998;Surface
2011-10-03;Temperatur;14.334285714285715;Bottom
2011-10-03;Temperatur;15.21;Surface
2011-10-18;Oxygen indhold;8.81111111111111;Bottom
2011-10-18;Oxygen indhold;9.5;Surface
2011-10-18;Oxygenmætning;94.66666666666667;Bottom
2011-10-18;Oxygenmætning;101.0;Surface
2011-10-18;Salinitet;26.48888888888889;Bottom
2011-10-18;Salinitet;26.04;Surface
2011-10-18;Temperatur;11.028888888888888;Bottom
2011-10-18;Temperatur;10.772499999999999;Surface
2011-10-31;Oxygen indhold;7.633333333333334;Bottom
2011-10-31;Oxygen indhold;9.6;Surface
2011-10-31;Oxygenmætning;78.88888888888889;Bottom
2011-10-31;Oxygenmætning;98.0;Surface
2011-10-31;Salinitet;27.512222222222224;Bottom
2011-10-31;Salinitet;24.73;Surface
2011-10-31;Temperatur;9.173333333333334;Bottom
2011-10-31;Temperatur;9.23;Surface
2011-11-11;Oxygen indhold;8.383333333333333;Bottom
2011-11-11;Oxygen indhold;10.3;Surface
2011-11-11;Oxygenmætning;84.66666666666667;Bottom
2011-11-11;Oxygenmætning;102.0;Surface
2011-11-11;Salinitet;25.253333333333334;Bottom
2011-11-11;Salinitet;23.8875;Surface
2011-11-11;Temperatur;8.755;Bottom
2011-11-11;Temperatur;8.2025;Surface
2011-11-15;Oxygen indhold;7.3428571428571425;Bottom
2011-11-15;Oxygen indhold;10.9;Surface
2011-11-15;Oxygenmætning;75.85714285714286;Bottom
2011-11-15;Oxygenmætning;103.75;Surface
2011-11-15;Salinitet;27.81714285714286;Bottom
2011-11-15;Salinitet;23.15;Surface
2011-11-15;Temperatur;8.95;Bottom
2011-11-15;Temperatur;6.7625;Surface
2011-11-29;Oxygen indhold;10.1;Bottom
2011-11-29;Oxygen indhold;10.1;Surface
2011-11-29;Oxygenmætning;100.0;Bottom
2011-11-29;Oxygenmætning;100.0;Surface
2011-11-29;Salinitet;26.561;Bottom
2011-11-29;Salinitet;26.545;Surface
2011-11-29;Temperatur;7.31;Bottom
2011-11-29;Temperatur;7.3149999999999995;Surface
2011-12-19;Oxygen indhold;9.775;Bottom
2011-12-19;Oxygen indhold;10.6;Surface
2011-12-19;Oxygenmætning;89.5;Bottom
2011-12-19;Oxygenmætning;93.0;Surface
2011-12-19;Salinitet;26.745;Bottom
2011-12-19;Salinitet;25.032;Surface
2011-12-19;Temperatur;4.12625;Bottom
2011-12-19;Temperatur;2.974;Surface
2012-01-05;Oxygen indhold;12.114285714285714;Bottom
2012-01-05;Oxygen indhold;12.125;Surface
2012-01-05;Oxygenmætning;111.07142857142857;Bottom
2012-01-05;Oxygenmætning;111.25;Surface
2012-01-05;Salinitet;27.2;Bottom
2012-01-05;Salinitet;27.192500000000003;Surface
2012-01-05;Temperatur;4.08;Bottom
